symbol,date,quarter,positive_score,negative_score,neutral_score,polarity,sentiment_confidence,optimism_ratio,caution_ratio,transcript_length,word_complexity,price_volatility,prev_quarter_movement,label
GIS,2021-03-24,2021-Q3,0.0601,0.0248,0.9151,0.0353,0.8903,0.8148,0.1852,2957,5.6412,0.2097,3.5079,1
IP,2021-07-29,2021-Q2,0.0642,0.0413,0.8945,0.0229,0.8532,0.6825,0.3175,4805,6.0152,0.1764,6.0787,1
STZ,2022-04-07,2022-Q4,0.1066,0.0291,0.8643,0.0775,0.8352,0.8095,0.1905,4823,6.2857,0.1982,-0.0514,1
LMT,2021-01-26,2020-Q4,0.0853,0.0245,0.8902,0.0608,0.8657,0.8649,0.1351,3894,6.2982,0.1771,,0
CTVA,2021-05-05,2021-Q1,0.0836,0.0226,0.8938,0.061,0.8712,0.8732,0.1268,4372,6.051,0.1734,6.6814,0
PEP,2021-07-13,2021-Q2,0.0649,0.0196,0.9155,0.0452,0.8959,0.9655,0.0345,2708,5.9919,0.1193,1.8808,1
LNT,2021-11-05,2021-Q3,0.0779,0.0202,0.9019,0.0578,0.8817,0.9091,0.0909,1962,6.0612,0.17,1.42,0
KO,2022-07-26,2022-Q2,0.0873,0.0259,0.8867,0.0614,0.8608,0.8525,0.1475,4320,6.1674,0.1692,-0.9808,0
FANG,2021-11-05,2021-Q3,0.0589,0.0312,0.9099,0.0278,0.8787,0.76,0.24,3955,5.7474,0.3365,4.3,0
EMR,2021-02-02,2021-Q1,0.0754,0.0275,0.8971,0.0479,0.8696,0.8615,0.1385,7276,5.5797,0.2592,3.1783,1
BX,2022-01-27,2021-Q4,0.081,0.0233,0.8958,0.0577,0.8725,0.9388,0.0612,4407,6.0735,0.3521,14.8211,1
OTIS,2022-01-31,2021-Q4,0.1126,0.0229,0.8645,0.0897,0.8416,0.8904,0.1096,4032,5.8016,0.1877,-6.21,0
MCHP,2022-02-03,2022-Q3,0.0891,0.0319,0.879,0.0572,0.8471,0.6,0.4,3583,6.1532,0.4794,7.83,0
WHR,2021-10-22,2021-Q3,0.0981,0.0369,0.865,0.0612,0.8281,0.8333,0.1667,4536,6.1559,0.2431,3.3147,0
WST,2022-04-28,2022-Q1,0.1027,0.0274,0.8699,0.0754,0.8425,0.7778,0.2222,2931,5.9983,0.3154,-3.7922,0
CB,2021-10-27,2021-Q3,0.0584,0.0271,0.9145,0.0313,0.8874,0.7742,0.2258,3300,6.33,0.1986,1.3144,1
CAG,2022-01-06,2022-Q2,0.0833,0.0345,0.8822,0.0488,0.8477,0.7018,0.2982,4178,6.1297,0.1903,-1.7931,1
BA,2022-10-26,2022-Q3,0.0704,0.0338,0.8958,0.0366,0.862,0.8293,0.1707,3494,5.8635,0.4663,7.94,0
NVDA,2021-11-17,2021-Q3,0.0532,0.0239,0.9229,0.0294,0.899,0.8261,0.1739,4041,6.268,0.4976,10.07,1
CF,2020-02-13,2019-Q4,0.0605,0.0353,0.9042,0.0253,0.8689,0.7333,0.2667,4507,5.8611,0.3408,4.15,0
ULTA,2021-08-25,2021-Q2,0.1222,0.0365,0.8413,0.0857,0.8048,0.8143,0.1857,4188,6.1294,0.216,8.6632,1
FIS,2021-08-03,2021-Q2,0.1248,0.018,0.8573,0.1068,0.8393,0.9855,0.0145,3821,6.0319,0.2129,-2.5347,0
SYY,2021-05-04,2021-Q3,0.0766,0.0515,0.8719,0.0251,0.8204,0.7794,0.2206,5591,6.0674,0.1676,7.6988,1
RTX,2021-10-26,2021-Q3,0.0605,0.0295,0.91,0.031,0.8805,0.7551,0.2449,3927,5.8296,0.1473,1.1635,0
PKG,2021-04-27,2021-Q1,0.049,0.0563,0.8947,-0.0073,0.8457,0.6389,0.3611,3915,5.8041,0.1733,-3.8036,1
