symbol,date,quarter,positive_score,negative_score,neutral_score,polarity,sentiment_confidence,optimism_ratio,caution_ratio,transcript_length,word_complexity,price_volatility,prev_quarter_movement,label
PSX,2021-08-03,2021-Q2,0.0921,0.0291,0.8787,0.063,0.8496,0.7321,0.2679,4565,5.7982,0.3722,8.8221,0
IQV,2020-04-28,2020-Q1,0.0544,0.042,0.9037,0.0124,0.8617,0.4667,0.5333,3389,6.1638,0.7954,,1
HBAN,2022-07-21,2022-Q2,0.093,0.0288,0.8781,0.0642,0.8493,0.8889,0.1111,4072,6.0061,0.323,0.37,1
ORCL,2021-12-09,2022-Q2,0.05,0.0324,0.9176,0.0176,0.8852,0.7619,0.2381,3421,5.6787,0.1684,-3.6686,1
GOOGL,2021-07-27,2021-Q2,0.0857,0.0266,0.8878,0.0591,0.8612,0.925,0.075,3939,6.1711,0.1793,1.8862,1
AES,2021-11-04,2021-Q3,0.113,0.0195,0.8675,0.0934,0.848,0.907,0.093,3031,6.1577,0.2153,3.27,0
IBM,2020-07-20,2020-Q2,0.0826,0.0532,0.8642,0.0294,0.811,0.7692,0.2308,5082,6.1444,0.2564,,1
AMZN,2020-07-30,2020-Q2,0.1018,0.0234,0.8749,0.0784,0.8515,0.8857,0.1143,2887,5.7811,0.4753,,1
KR,2021-12-02,2021-Q3,0.0768,0.0234,0.8998,0.0534,0.8764,0.7838,0.2162,4115,6.0819,0.3371,-10.6328,1
CBRE,2021-04-29,2021-Q1,0.1175,0.0552,0.8272,0.0623,0.772,0.7547,0.2453,3165,6.2689,0.2512,0.691,1
MRK,2021-07-29,2021-Q2,0.1228,0.0191,0.8581,0.1038,0.839,0.9189,0.0811,4617,6.5289,0.1077,-1.9863,0
TTWO,2022-11-07,2023-Q2,0.0868,0.027,0.8861,0.0598,0.8591,0.898,0.102,4851,6.1255,0.3281,-3.1614,0
HPE,2021-03-02,2021-Q1,0.1386,0.0227,0.8388,0.1159,0.8161,0.9394,0.0606,3571,6.4595,0.3646,,1
STZ,2023-01-05,2023-Q3,0.1331,0.0271,0.8398,0.1059,0.8127,0.8061,0.1939,5662,6.2494,0.2012,-5.5987,0
GE,2021-04-27,2021-Q1,0.1289,0.0327,0.8383,0.0962,0.8056,0.8235,0.1765,4401,6.1136,0.2304,-2.82,0
DG,2021-08-26,2021-Q2,0.1279,0.0234,0.8487,0.1045,0.8253,0.8143,0.1857,4243,6.0066,0.1317,2.1658,0
UDR,2021-07-29,2021-Q2,0.0778,0.0346,0.8877,0.0432,0.8531,0.8594,0.1406,6182,5.8656,0.1517,-1.4741,1
AMD,2022-05-03,2022-Q1,0.1487,0.0225,0.8288,0.1262,0.8063,0.9385,0.0615,4365,6.0009,0.544,8.1838,1
NWL,2021-04-30,2021-Q1,0.1231,0.0238,0.8531,0.0994,0.8293,0.9286,0.0714,4383,6.0805,0.1578,9.7731,1
ELV,2022-07-20,2022-Q2,0.0871,0.0198,0.8931,0.0673,0.8733,0.9057,0.0943,4881,6.243,0.3218,-1.19,0
BR,2020-10-30,2021-Q1,0.1072,0.0262,0.8665,0.081,0.8403,0.7647,0.2353,3985,6.0966,0.2088,1.67,1
C,2021-07-14,2021-Q2,0.1361,0.0636,0.8004,0.0725,0.7368,0.803,0.197,4189,6.0566,0.2905,-3.9895,0
FTNT,2021-07-29,2021-Q2,0.0701,0.0225,0.9073,0.0476,0.8848,0.8205,0.1795,4063,6.0943,0.2139,1.4125,1
QCOM,2020-11-04,2020-Q4,0.0857,0.032,0.8823,0.0537,0.8503,0.8537,0.1463,3373,6.2238,0.3237,,1
MCO,2021-04-28,2021-Q1,0.0888,0.0259,0.8852,0.0629,0.8593,0.7955,0.2045,6224,6.0927,0.1944,-0.6269,1
COP,2022-02-03,2021-Q4,0.0651,0.0274,0.9075,0.0376,0.8801,0.878,0.122,4195,5.7816,0.3593,1.153,1
XOM,2021-02-02,2020-Q4,0.0903,0.0306,0.8791,0.0596,0.8485,0.8391,0.1609,5839,6.3071,0.3832,,1
A,2022-02-22,2022-Q1,0.117,0.0261,0.8569,0.0909,0.8308,0.9273,0.0727,3879,5.8283,0.2923,3.74,1
TSLA,2020-07-22,2020-Q2,0.0614,0.0248,0.9138,0.0366,0.889,0.9,0.1,3886,5.7983,0.7562,-4.7,0
CVX,2022-04-29,2022-Q1,0.0635,0.0366,0.8999,0.0269,0.8633,0.525,0.475,4101,5.6754,0.2673,2.1269,1
GS,2020-10-14,2020-Q3,0.0926,0.0318,0.8756,0.0608,0.8438,0.7831,0.2169,5683,6.1709,0.2945,,0
SYY,2021-08-10,2021-Q4,0.1268,0.0311,0.8422,0.0957,0.8111,0.7532,0.2468,5345,6.1409,0.2422,2.6416,1
WM,2022-04-26,2022-Q1,0.0657,0.024,0.9103,0.0417,0.8863,0.86,0.14,4727,5.8517,0.16,-3.56,1
GLW,2022-01-26,2021-Q4,0.106,0.0227,0.8712,0.0833,0.8485,0.9286,0.0714,3658,6.1925,0.1968,-7.8736,1
SPGI,2021-04-29,2021-Q1,0.0925,0.0414,0.866,0.0511,0.8246,0.8488,0.1512,6679,6.1388,0.1832,4.305,1
LRCX,2022-01-26,2021-Q4,0.0739,0.0312,0.8949,0.0427,0.8637,0.7344,0.2656,4351,5.8518,0.4985,-2.94,0
HAS,2021-02-08,2020-Q4,0.0577,0.0896,0.8527,-0.0318,0.795,0.7455,0.2545,4832,5.8967,0.2288,-3.1616,0
MSFT,2021-01-26,2021-Q2,0.1099,0.0975,0.7926,0.0124,0.6951,0.902,0.098,3566,6.3519,0.2479,,1
LRCX,2021-10-20,2021-Q3,0.1106,0.0249,0.8645,0.0857,0.8396,0.8056,0.1944,4503,5.9018,0.3245,0.2202,0
WM,2021-07-27,2021-Q2,0.0744,0.0258,0.8997,0.0486,0.8739,0.9091,0.0909,5264,5.8957,0.1135,3.0165,1
LYB,2021-07-30,2021-Q2,0.1767,0.0391,0.7842,0.1376,0.7451,0.7778,0.2222,4066,6.3399,0.3247,6.7963,0
KO,2021-07-21,2021-Q2,0.1101,0.0268,0.8631,0.0833,0.8363,0.9365,0.0635,4101,6.0649,0.1429,1.47,0
XEL,2021-04-29,2021-Q1,0.0869,0.0277,0.8854,0.0593,0.8577,0.7742,0.2258,3150,5.8863,0.1374,-3.4587,1
DIS,2020-08-04,2020-Q3,0.0608,0.0984,0.8408,-0.0376,0.78,0.6667,0.3333,4179,6.0124,0.216,5.7957,1
CF,2019-10-31,2019-Q3,0.0685,0.0384,0.8931,0.0301,0.8547,0.7547,0.2453,3576,5.7503,0.2325,7.197,1
J,2020-11-24,2020-Q4,0.1005,0.032,0.8675,0.0685,0.8355,0.8438,0.1562,5746,6.4156,0.3989,6.99,0
NWSA,2021-11-04,2022-Q1,0.1618,0.0446,0.7936,0.1173,0.749,0.8571,0.1429,3053,6.5241,0.2143,-1.86,0
ECL,2021-04-27,2021-Q1,0.0827,0.0451,0.8722,0.0376,0.8271,0.8776,0.1224,3985,5.878,0.1891,-1.34,0
INTC,2020-07-23,2020-Q2,0.0763,0.0367,0.887,0.0396,0.8503,0.7451,0.2549,3329,6.1874,0.2117,,0
LYV,2021-11-04,2021-Q3,0.0791,0.0258,0.8951,0.0532,0.8693,0.8621,0.1379,2483,5.8232,0.3337,7.95,1
KMX,2022-09-29,2023-Q2,0.0783,0.0354,0.8863,0.0428,0.8509,0.6222,0.3778,3673,5.9603,0.3645,6.72,0
GOOGL,2022-07-26,2022-Q2,0.0711,0.0234,0.9054,0.0477,0.882,0.7838,0.2162,3882,6.0654,0.432,-7.2838,1
NDSN,2021-02-23,2021-Q1,0.0718,0.0311,0.897,0.0407,0.8659,0.8936,0.1064,2997,6.2069,0.2154,-1.76,1
NUE,2021-01-28,2020-Q4,0.0808,0.03,0.8892,0.0508,0.8592,0.6875,0.3125,4455,5.9257,0.3324,,0
DD,2021-05-04,2021-Q1,0.0972,0.0534,0.8494,0.0438,0.796,0.7833,0.2167,3570,6.1003,0.2076,-5.6626,1
ICE,2021-04-29,2021-Q1,0.0941,0.0512,0.8547,0.0429,0.8035,0.8889,0.1111,3290,6.1574,0.1466,-0.1323,0
ABNB,2022-11-01,2022-Q3,0.0646,0.0289,0.9065,0.0358,0.8776,0.9714,0.0286,4716,5.5952,0.4925,5.31,0
IVZ,2021-07-27,2021-Q2,0.0818,0.0271,0.8911,0.0547,0.864,0.8103,0.1897,4606,6.1036,0.3434,1.7716,0
ADSK,2020-05-27,2021-Q1,0.0541,0.0385,0.9074,0.0156,0.8689,0.6154,0.3846,5624,5.8738,0.4148,7.1175,1
BAC,2021-01-19,2020-Q4,0.084,0.0895,0.8266,-0.0055,0.7426,0.5432,0.4568,6448,5.7691,0.3193,,0
PSA,2020-02-26,2019-Q4,0.0545,0.0273,0.9182,0.0272,0.8909,0.6923,0.3077,3184,5.7776,0.2318,1.2358,1
CTAS,2020-07-23,2020-Q4,0.0465,0.0645,0.889,-0.0179,0.8425,0.4848,0.5152,4603,5.9127,0.2708,,1
KEYS,2022-05-17,2022-Q2,0.0848,0.0242,0.891,0.0606,0.8668,0.8519,0.1481,3353,6.2747,0.4098,-4.4236,1
AVGO,2022-09-01,2022-Q3,0.0627,0.0878,0.8495,-0.0252,0.7868,0.6923,0.3077,2813,5.9303,0.3651,10.2154,0
NEM,2021-04-29,2021-Q1,0.0966,0.0311,0.8722,0.0655,0.8411,0.8615,0.1385,4577,6.2821,0.2985,-1.6609,0
GOOGL,2021-02-02,2020-Q4,0.0905,0.0239,0.8856,0.0665,0.8617,0.7949,0.2051,3829,6.2826,0.3393,3.8737,1
UNP,2021-07-22,2021-Q2,0.1116,0.0383,0.8501,0.0732,0.8118,0.7907,0.2093,4966,5.938,0.227,1.0113,0
D,2023-02-08,2022-Q4,0.0662,0.0358,0.898,0.0303,0.8622,0.8182,0.1818,3229,6.388,0.2018,-13.3391,0
SLB,2022-07-22,2022-Q2,0.1603,0.0324,0.8073,0.1278,0.7749,0.8732,0.1268,3741,6.4018,0.5402,-8.0129,1
OXY,2021-02-23,2020-Q4,0.0809,0.0306,0.8885,0.0503,0.8579,0.8837,0.1163,4094,5.8994,0.6738,,1
ARE,2021-10-26,2021-Q3,0.0526,0.0297,0.9178,0.0229,0.8881,0.7917,0.2083,5520,6.221,0.1596,,0
JBL,2022-06-16,2022-Q3,0.0651,0.0371,0.8977,0.028,0.8606,0.7931,0.2069,2509,5.8031,0.4394,15.2483,0
KEYS,2021-05-19,2021-Q2,0.0912,0.0277,0.8812,0.0635,0.8535,0.9423,0.0577,3078,6.1771,0.2303,-7.61,1
TSLA,2020-04-29,2020-Q1,0.0694,0.0272,0.9034,0.0423,0.8762,0.8065,0.1935,3682,5.8169,0.9177,39.7799,0
ENPH,2023-02-07,2022-Q4,0.071,0.0264,0.9026,0.0446,0.8762,0.8788,0.1212,4438,6.0383,0.5428,20.5093,0
CPRT,2022-02-17,2022-Q2,0.0682,0.045,0.8868,0.0232,0.8418,0.6552,0.3448,2986,6.006,0.376,-5.16,1
AMZN,2021-04-29,2021-Q1,0.0784,0.0201,0.9014,0.0583,0.8813,0.8485,0.1515,2586,5.8894,0.1912,0.2773,0
DUK,2021-08-05,2021-Q2,0.0795,0.0302,0.8903,0.0494,0.8601,0.8462,0.1538,3482,6.2829,0.1129,3.16,0
BALL,2021-11-04,2021-Q3,0.0661,0.029,0.9049,0.0371,0.8759,0.7273,0.2727,4959,5.9205,0.2506,9.14,0
CMCSA,2021-07-29,2021-Q2,0.1658,0.0253,0.8089,0.1405,0.7836,0.8267,0.1733,4623,5.9918,0.1257,4.2526,0
UBER,2021-08-04,2021-Q2,0.0976,0.0222,0.8802,0.0753,0.858,0.9583,0.0417,4238,5.895,0.3053,-16.5178,0
EPAM,2021-05-06,2021-Q1,0.0704,0.027,0.9026,0.0433,0.8756,0.9,0.1,3543,6.0686,0.1921,-5.7924,0
HRL,2021-02-18,2021-Q1,0.1395,0.0333,0.8273,0.1062,0.794,0.7647,0.2353,4396,5.9825,0.3844,-7.34,1
MKTX,2021-01-27,2020-Q4,0.0834,0.0215,0.8951,0.0619,0.8736,0.8542,0.1458,3970,6.0748,0.2449,,1
PG,2021-01-20,2021-Q2,0.0631,0.0239,0.913,0.0392,0.8891,0.7021,0.2979,3833,6.2064,0.1205,5.9135,0
AMAT,2021-11-18,2021-Q4,0.0664,0.0246,0.9091,0.0418,0.8845,0.7755,0.2245,4262,5.9789,0.2955,-0.1898,0
COST,2021-09-23,2021-Q4,0.0587,0.036,0.9053,0.0227,0.8693,0.6538,0.3462,3904,5.4877,0.1274,-1.36,0
UBER,2022-08-02,2022-Q2,0.1034,0.0209,0.8757,0.0824,0.8548,0.9444,0.0556,3020,5.7172,0.5954,-24.1527,1
LW,2019-10-02,2020-Q1,0.1278,0.0291,0.843,0.0987,0.8139,0.7241,0.2759,3459,5.9685,0.1353,,1
KMI,2021-01-20,2020-Q4,0.0654,0.0471,0.8875,0.0183,0.8404,0.7021,0.2979,4630,5.8145,0.259,,0
EVRG,2020-08-05,2020-Q2,0.0831,0.0269,0.89,0.0562,0.8631,0.8049,0.1951,3203,6.187,0.213,,0
J,2021-05-10,2021-Q2,0.0919,0.0232,0.8849,0.0687,0.8617,0.85,0.15,4847,6.3536,0.1717,1.29,1
ADSK,2019-08-27,2020-Q2,0.0729,0.0248,0.9023,0.0481,0.8775,0.9394,0.0606,5197,6.1547,0.3415,-5.58,0
CINF,2021-04-29,2021-Q1,0.0714,0.0312,0.8974,0.0402,0.8662,0.7857,0.2143,1318,6.2944,0.1693,3.6048,1
PTC,2022-07-27,2022-Q3,0.1018,0.0235,0.8747,0.0783,0.8512,0.8026,0.1974,4889,5.909,0.3601,-1.14,1
IBM,2021-04-19,2021-Q1,0.1156,0.0215,0.863,0.0941,0.8415,0.9333,0.0667,4430,6.123,0.1845,-5.0612,1
ALGN,2022-02-02,2021-Q4,0.1281,0.0363,0.8356,0.0918,0.7993,0.8108,0.1892,4946,6.3841,0.5169,12.148,1
MA,2022-04-28,2022-Q1,0.1032,0.0223,0.8744,0.0809,0.8521,0.8667,0.1333,4599,6.3194,0.3073,12.2031,1
WMT,2021-05-18,2022-Q1,0.1122,0.0248,0.8629,0.0874,0.8381,0.9167,0.0833,5110,5.9933,0.1602,-6.9958,1
TTWO,2020-11-05,2021-Q2,0.0631,0.0246,0.9122,0.0385,0.8876,0.9062,0.0938,3748,6.1817,0.3052,5.9002,0
LLY,2020-04-23,2020-Q1,0.0738,0.0378,0.8884,0.0361,0.8506,0.7286,0.2714,6519,6.3605,0.5619,,0
HUBB,2021-10-26,2021-Q3,0.0701,0.0299,0.9001,0.0402,0.8702,0.7872,0.2128,3924,5.9799,0.1877,3.1651,1
ADM,2021-04-27,2021-Q1,0.1088,0.0282,0.863,0.0806,0.8348,0.8361,0.1639,4280,6.0542,0.1784,-5.8015,1
AOS,2021-07-29,2021-Q2,0.0827,0.0272,0.8902,0.0555,0.863,0.7368,0.2632,3508,5.9179,0.2283,5.7594,1
APTV,2021-11-04,2021-Q3,0.0697,0.0341,0.8962,0.0355,0.8621,0.7719,0.2281,3900,6.2441,0.248,1.25,0
PYPL,2021-11-08,2021-Q3,0.0997,0.0291,0.8712,0.0706,0.8421,0.7857,0.2143,3863,5.9739,0.3483,-11.6721,0
NVDA,2022-05-25,2023-Q1,0.0672,0.024,0.9089,0.0432,0.8849,0.8667,0.1333,3779,6.1768,0.8116,-2.5755,1
FANG,2021-08-03,2021-Q2,0.0602,0.024,0.9158,0.0362,0.8918,0.7647,0.2353,3726,5.8347,0.563,0.3456,1
LOW,2021-02-24,2020-Q4,0.0973,0.0246,0.8781,0.0727,0.8535,0.8857,0.1143,4780,6.146,0.2895,,0
EQR,2019-07-31,2019-Q2,0.0727,0.0281,0.8992,0.0446,0.8711,0.7692,0.2308,5698,5.7255,0.1346,,1
STZ,2021-10-06,2022-Q2,0.1189,0.0486,0.8325,0.0703,0.7839,0.7327,0.2673,4889,6.1857,0.2007,-1.6111,1
LNT,2021-08-06,2021-Q2,0.1652,0.016,0.8188,0.1493,0.8028,0.9524,0.0476,1569,6.1842,0.1452,-1.2911,1
NDAQ,2021-07-21,2021-Q2,0.1028,0.0194,0.8777,0.0834,0.8583,0.9194,0.0806,4867,6.3271,0.1579,0.8826,1
NOC,2021-10-28,2021-Q3,0.11,0.0314,0.8586,0.0786,0.8272,0.8065,0.1935,3837,6.2106,0.1628,1.72,0
AAPL,2020-04-30,2020-Q2,0.0782,0.0465,0.8753,0.0316,0.8288,0.62,0.38,3678,6.0294,0.496,0.18,1
LUV,2023-01-26,2022-Q4,0.0553,0.0523,0.8924,0.003,0.8401,0.4468,0.5532,6876,5.957,0.4356,9.55,0
PTC,2021-01-27,2021-Q1,0.1004,0.0223,0.8774,0.0781,0.8551,0.9434,0.0566,4334,5.9239,0.2889,3.8365,1
CCI,2022-07-21,2022-Q2,0.0815,0.0217,0.8968,0.0598,0.8751,1.0,0.0,4605,5.8552,0.2665,-1.2202,1
COST,2022-05-26,2022-Q3,0.0597,0.0322,0.9082,0.0275,0.876,0.4722,0.5278,4281,5.4548,0.528,0.7915,1
PCG,2021-02-25,2020-Q4,0.0541,0.0279,0.918,0.0262,0.8901,0.8,0.2,4143,6.168,0.3607,,0
ZBRA,2021-11-02,2021-Q3,0.0948,0.0213,0.8839,0.0735,0.8626,0.8689,0.1311,4044,6.1627,0.2175,2.0509,1
LLY,2022-02-03,2021-Q4,0.0755,0.035,0.8895,0.0405,0.8545,0.6897,0.3103,4836,6.3441,0.2263,3.96,0
POOL,2021-07-22,2021-Q2,0.0833,0.0256,0.8911,0.0577,0.8655,0.7636,0.2364,4712,5.7825,0.188,10.12,1
CAG,2019-12-19,2020-Q2,0.1126,0.0899,0.7975,0.0227,0.7076,0.9306,0.0694,4642,5.883,0.2496,2.0069,1
MO,2022-04-28,2022-Q1,0.0801,0.0394,0.8805,0.0407,0.8411,0.6667,0.3333,3014,6.3378,0.1937,1.3814,1
REGN,2021-08-05,2021-Q2,0.0854,0.0232,0.8914,0.0622,0.8682,0.8788,0.1212,4683,6.5808,0.1612,2.5726,1
GEN,2022-02-03,2022-Q3,0.1379,0.0192,0.843,0.1187,0.8238,0.9667,0.0333,2587,6.2284,0.2051,-0.95,1
C,2022-04-14,2022-Q1,0.0715,0.0833,0.8452,-0.0118,0.7737,0.6875,0.3125,4670,5.966,0.249,-4.2766,1
ECL,2021-02-16,2020-Q4,0.1049,0.0212,0.8739,0.0837,0.8527,0.9487,0.0513,3454,5.7852,0.2605,1.3279,0
DOW,2021-01-28,2020-Q4,0.1013,0.0261,0.8727,0.0752,0.8466,0.8795,0.1205,4269,6.2745,0.349,,0
LDOS,2020-11-02,2020-Q3,0.0754,0.0314,0.8932,0.0441,0.8618,0.7805,0.2195,4069,5.8793,0.249,-5.178,1
AES,2021-08-05,2021-Q2,0.0925,0.0196,0.8878,0.0729,0.8682,0.9167,0.0833,2158,6.2354,0.2386,-7.3492,1
BR,2020-01-31,2020-Q2,0.0665,0.0814,0.8521,-0.0149,0.7856,0.6667,0.3333,3832,6.1459,0.1258,-4.24,0
IT,2021-08-03,2021-Q2,0.1696,0.0335,0.7969,0.1361,0.7634,0.8621,0.1379,3577,5.9992,0.1439,18.54,1
OTIS,2021-10-25,2021-Q3,0.1377,0.0277,0.8347,0.11,0.807,0.8261,0.1739,4371,5.8362,0.2149,1.1636,0
AAPL,2021-04-28,2021-Q2,0.0875,0.0226,0.89,0.0649,0.8674,0.8182,0.1818,3847,5.8297,0.208,-6.1433,0
PHM,2021-10-26,2021-Q3,0.1006,0.0402,0.8592,0.0604,0.819,0.7292,0.2708,4396,5.8749,0.2576,7.9029,0
RCL,2022-11-03,2022-Q3,0.0993,0.0245,0.8761,0.0748,0.8516,0.8689,0.1311,4040,6.0114,0.9149,6.5079,1
ISRG,2022-07-21,2022-Q2,0.0724,0.0411,0.8865,0.0313,0.8454,0.5962,0.4038,4223,6.3062,0.304,-11.518,1
HCA,2022-10-21,2022-Q3,0.0707,0.0345,0.8948,0.0362,0.8603,0.7027,0.2973,3281,5.9768,0.3812,14.8614,1
ROST,2021-08-19,2021-Q2,0.0534,0.04,0.9066,0.0135,0.8666,0.5517,0.4483,2430,5.9099,0.3095,-3.5431,0
TXT,2021-04-29,2021-Q1,0.0685,0.028,0.9035,0.0405,0.8755,0.8974,0.1026,3932,5.6935,0.1834,-9.2474,1
PG,2019-10-22,2020-Q1,0.0935,0.0186,0.8879,0.0749,0.8693,0.9167,0.0833,3685,6.0874,0.161,,1
LYV,2021-08-03,2021-Q2,0.0891,0.0272,0.8837,0.0618,0.8565,0.8148,0.1852,2517,5.851,0.3895,-0.24,1
BIO,2021-07-29,2021-Q2,0.0756,0.0324,0.8921,0.0432,0.8597,0.7931,0.2069,2137,6.1633,0.1658,-7.749,1
RTX,2022-04-26,2022-Q1,0.077,0.0352,0.8878,0.0418,0.8526,0.7593,0.2407,3730,5.9265,0.1887,2.5079,0
ADM,2022-07-26,2022-Q2,0.1526,0.0229,0.8245,0.1296,0.8016,0.9231,0.0769,4387,5.9307,0.3946,-1.5391,1
QCOM,2021-07-28,2021-Q3,0.0943,0.0197,0.886,0.0746,0.8663,0.96,0.04,3529,6.0876,0.2113,-1.1011,1
MCHP,2022-05-09,2022-Q4,0.0792,0.0452,0.8755,0.034,0.8303,0.5439,0.4561,4349,6.0816,0.4882,-2.6329,1
AAPL,2020-07-30,2020-Q3,0.0968,0.0273,0.8759,0.0695,0.8486,0.9474,0.0526,3437,5.9712,0.2869,5.08,1
PAYC,2022-08-02,2022-Q2,0.0597,0.0365,0.9039,0.0232,0.8674,0.871,0.129,3318,5.6284,0.5596,0.8609,1
STX,2022-07-21,2022-Q4,0.074,0.0342,0.8918,0.0399,0.8576,0.6338,0.3662,4575,5.8859,0.3468,-0.1091,0
LYV,2021-05-06,2021-Q1,0.0594,0.0246,0.916,0.0349,0.8914,0.7692,0.2308,3374,5.6203,0.2782,1.9358,1
ES,2020-05-07,2020-Q1,0.0683,0.0309,0.9008,0.0374,0.8699,0.6667,0.3333,3300,6.0142,0.6111,,0
MA,2023-01-26,2022-Q4,0.1103,0.0221,0.8676,0.0882,0.8455,0.9153,0.0847,4332,6.1182,0.2375,9.0281,0
DHI,2022-04-26,2022-Q2,0.0947,0.0309,0.8743,0.0638,0.8434,0.6667,0.3333,3826,5.9415,0.423,-4.3488,0
BBY,2022-03-03,2021-Q4,0.0721,0.0648,0.863,0.0073,0.7982,0.8551,0.1449,6641,6.186,0.3947,-16.8333,1
LKQ,2020-07-30,2020-Q2,0.0794,0.1311,0.7895,-0.0517,0.7101,0.5059,0.4941,3994,6.0954,0.4406,9.7058,1
LRCX,2022-07-27,2022-Q2,0.0833,0.0327,0.8839,0.0506,0.8512,0.7419,0.2581,4711,5.8671,0.5163,-5.13,1
HBAN,2021-10-28,2021-Q3,0.0937,0.0278,0.8786,0.0659,0.8508,0.8571,0.1429,3529,6.0419,0.2126,3.81,0
CINF,2022-02-16,2021-Q4,0.0921,0.0338,0.8741,0.0584,0.8403,0.8,0.2,2490,5.9233,0.2416,0.1053,1
TRV,2021-07-20,2021-Q2,0.1214,0.0301,0.8485,0.0912,0.8184,0.7937,0.2063,4709,6.141,0.2456,2.2412,0
XYL,2021-11-02,2021-Q3,0.0781,0.0262,0.8956,0.0519,0.8694,0.7963,0.2037,3877,5.9391,0.2402,2.5151,0
MMC,2022-10-20,2022-Q3,0.0857,0.0258,0.8885,0.0599,0.8627,0.7963,0.2037,4224,5.91,0.2744,5.0286,0
APH,2020-10-21,2020-Q3,0.0969,0.0255,0.8776,0.0715,0.8521,0.8732,0.1268,5453,6.1144,0.261,7.7292,1
BR,2019-11-07,2020-Q1,0.0785,0.0654,0.8561,0.0131,0.7907,0.7121,0.2879,3338,6.1881,0.18,,0
MPWR,2021-10-28,2021-Q3,0.0499,0.0347,0.9154,0.0151,0.8807,0.6087,0.3913,3140,5.8713,0.2908,8.7955,1
GEN,2021-11-04,2022-Q2,0.0969,0.0232,0.8799,0.0737,0.8567,0.8214,0.1786,1933,6.5085,0.1849,-3.3489,0
NKE,2019-09-25,2020-Q1,0.1024,0.0245,0.8731,0.0779,0.8486,0.9701,0.0299,4333,6.2266,0.2281,,1
SYK,2021-04-27,2021-Q1,0.0789,0.0307,0.8905,0.0482,0.8598,0.8525,0.1475,5528,5.928,0.1479,-5.431,0
SBAC,2020-08-03,2020-Q2,0.0709,0.0329,0.8962,0.038,0.8633,0.641,0.359,4097,6.1316,0.2638,,0
PTC,2022-01-26,2022-Q1,0.0904,0.0258,0.8838,0.0647,0.858,0.8868,0.1132,4224,5.8911,0.2782,-0.2918,0
MCK,2019-07-31,2020-Q1,0.0924,0.0308,0.8768,0.0616,0.846,0.6833,0.3167,4394,6.4679,0.2373,,1
JKHY,2020-11-05,2021-Q1,0.0762,0.1236,0.8003,-0.0474,0.7241,0.6809,0.3191,3656,5.887,0.2169,,0
IVZ,2021-01-26,2020-Q4,0.0913,0.0235,0.8852,0.0678,0.8617,0.7759,0.2241,4239,6.058,0.4183,-4.9311,1
APTV,2021-08-05,2021-Q2,0.0754,0.0278,0.8968,0.0475,0.869,0.8116,0.1884,4780,6.3006,0.3042,-1.959,1
CME,2021-07-28,2021-Q2,0.0712,0.0224,0.9065,0.0488,0.8841,0.8222,0.1778,3445,5.798,0.1642,-3.8437,1
VICI,2021-10-28,2021-Q3,0.0641,0.0251,0.9108,0.0391,0.8857,0.8571,0.1429,4877,6.0035,0.1826,-4.0887,0
HRL,2019-11-26,2019-Q4,0.0742,0.0413,0.8845,0.0329,0.8432,0.8167,0.1833,4331,5.939,0.0894,,1
NKE,2019-12-19,2020-Q2,0.1125,0.0196,0.8679,0.0929,0.8483,0.971,0.029,4881,6.0578,0.1483,7.1,1
ALGN,2022-10-26,2022-Q3,0.0729,0.0343,0.8928,0.0386,0.8585,0.6667,0.3333,5111,6.1252,0.5045,12.199,0
WMB,2021-11-02,2021-Q3,0.0996,0.0254,0.875,0.0742,0.8496,0.8529,0.1471,4981,5.9301,0.2198,0.4812,0
MSCI,2021-01-28,2020-Q4,0.0737,0.021,0.9053,0.0527,0.8843,0.9434,0.0566,5068,6.0558,0.3346,,1
AON,2021-02-05,2020-Q4,0.097,0.022,0.881,0.075,0.859,0.8889,0.1111,3771,6.1323,0.2016,,1
IR,2021-04-30,2021-Q1,0.1101,0.0224,0.8675,0.0878,0.8451,0.8868,0.1132,4744,6.0805,0.1563,5.8716,0
MTCH,2022-11-02,2022-Q3,0.0847,0.0286,0.8867,0.0561,0.8581,0.6545,0.3455,3766,5.9527,0.5608,-7.3711,1
ALGN,2021-02-03,2020-Q4,0.102,0.0265,0.8715,0.0756,0.845,0.9231,0.0769,5534,6.1373,0.4088,,1
BKR,2021-01-21,2020-Q4,0.0832,0.1762,0.7405,-0.093,0.6573,0.7444,0.2556,4954,6.216,0.2847,,0
BA,2022-07-27,2022-Q2,0.0678,0.0445,0.8877,0.0232,0.8432,0.75,0.25,3815,5.8304,0.4384,-15.5193,1
URI,2021-10-28,2021-Q3,0.0769,0.027,0.8961,0.0499,0.8691,0.9184,0.0816,3883,5.8406,0.303,3.1472,1
PNW,2021-02-24,2020-Q4,0.0676,0.0209,0.9115,0.0467,0.8906,0.7826,0.2174,2896,6.1285,0.1595,-3.3,0
NDSN,2020-12-16,2020-Q4,0.0728,0.0757,0.8515,-0.0029,0.7787,0.5833,0.4167,3945,6.2593,0.2097,-8.6583,0
BBY,2019-05-23,2020-Q1,0.076,0.0287,0.8954,0.0473,0.8667,0.8,0.2,4239,6.0184,0.2781,,0
SBUX,2022-08-02,2022-Q3,0.0989,0.0218,0.8793,0.0772,0.8575,0.8977,0.1023,5692,6.4181,0.2444,1.5258,1
